title,director_name,duration,gross,num_voted_users,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio,movie_fb_likes
Avatar,James Cameron,178,760505847,886204,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,237000000,2009,7.9,1.78,33000
Pirates of the Caribbean: At World's End,Gore Verbinski,169,309404152,471220,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,300000000,2007,7.1,2.35,0
Spectre,Sam Mendes,148,200074175,275868,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,245000000,2015,6.8,2.35,85000
The Dark Knight Rises,Christopher Nolan,164,448130642,1144337,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,250000000,2012,8.5,2.35,164000
Star Wars: Episode VII - The Force Awakens,Doug Walker,,,8,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,7.1,,0
John Carter,Andrew Stanton,132,73058679,212204,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,263700000,2012,6.6,2.35,24000
Spider-Man 3,Sam Raimi,156,336530303,383056,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,258000000,2007,6.2,2.35,0
Tangled,Nathan Greno,100,200807262,294810,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,260000000,2010,7.8,1.85,29000
Avengers: Age of Ultron,Joss Whedon,141,458991599,462669,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,250000000,2015,7.5,2.35,118000
Harry Potter and the Half-Blood Prince,David Yates,153,301956980,321795,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,250000000,2009,7.5,2.35,10000
Batman v Superman: Dawn of Justice,Zack Snyder,183,330249062,371639,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,250000000,2016,6.9,2.35,197000
Superman Returns,Bryan Singer,169,200069408,240396,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,209000000,2006,6.1,2.35,0
Quantum of Solace,Marc Forster,106,168368427,330784,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,200000000,2008,6.7,2.35,0
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,151,423032628,522040,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,225000000,2006,7.3,2.35,5000
The Lone Ranger,Gore Verbinski,150,89289910,181792,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,215000000,2013,6.5,2.35,48000
Man of Steel,Zack Snyder,143,291021565,548573,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,225000000,2013,7.2,2.35,118000
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,150,141614023,149922,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,225000000,2008,6.6,2.35,0
The Avengers,Joss Whedon,173,623279547,995415,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,220000000,2012,8.1,1.85,123000
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,136,241063875,370704,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,250000000,2011,6.7,2.35,58000
Men in Black 3,Barry Sonnenfeld,106,179020854,268154,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,225000000,2012,6.8,1.85,40000
The Hobbit: The Battle of the Five Armies,Peter Jackson,164,255108370,354228,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,250000000,2014,7.5,2.35,65000
The Amazing Spider-Man,Marc Webb,153,262030663,451803,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,230000000,2012,7,2.35,56000
Robin Hood,Ridley Scott,156,105219735,211765,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,200000000,2010,6.7,2.35,17000
The Hobbit: The Desolation of Smaug,Peter Jackson,186,258355354,483540,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,225000000,2013,7.9,2.35,83000
The Golden Compass,Chris Weitz,113,70083519,149019,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,180000000,2007,6.1,2.35,0
King Kong,Peter Jackson,201,218051260,316018,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,207000000,2005,7.2,2.35,0
Titanic,James Cameron,194,658672302,793059,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,200000000,1997,7.7,2.35,26000
Captain America: Civil War,Anthony Russo,147,407197282,272670,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,250000000,2016,8.2,2.35,72000
Battleship,Peter Berg,131,65173160,202382,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,209000000,2012,5.9,2.35,44000
Jurassic World,Colin Trevorrow,124,652177271,418214,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,150000000,2015,7,2,150000
Skyfall,Sam Mendes,143,304360277,522030,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,200000000,2012,7.8,2.35,80000
Spider-Man 2,Sam Raimi,135,373377893,411164,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,200000000,2004,7.3,2.35,0
Iron Man 3,Shane Black,195,408992272,557489,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,200000000,2013,7.2,2.35,95000
Alice in Wonderland,Tim Burton,108,334185206,306320,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,200000000,2010,6.5,1.85,24000
X-Men: The Last Stand,Brett Ratner,104,234360014,383427,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,210000000,2006,6.8,2.35,0
Monsters University,Dan Scanlon,104,268488329,235025,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,200000000,2013,7.3,1.85,44000
Transformers: Revenge of the Fallen,Michael Bay,150,402076689,323207,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,200000000,2009,6,2.35,0
Transformers: Age of Extinction,Michael Bay,165,245428137,242420,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,210000000,2014,5.7,2.35,56000
Oz the Great and Powerful,Sam Raimi,130,234903076,175409,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,215000000,2013,6.4,2.35,60000
The Amazing Spider-Man 2,Marc Webb,142,202853933,321227,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,200000000,2014,6.7,2.35,41000
TRON: Legacy,Joseph Kosinski,125,172051787,264183,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,170000000,2010,6.8,2.35,30000
Cars 2,John Lasseter,106,191450875,101178,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,200000000,2011,6.3,2.35,10000
Green Lantern,Martin Campbell,123,116593191,223393,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,200000000,2011,5.6,2.35,24000
